well_id,lat,lon,district,taluka,specific_yield,sy_source,village,aquifer_type,well_depth,n_observations,first_obs,last_obs
MH47ca911323,21.4292,77.0944,Amravati,Chikhaldara,0.02,district_modal,Arao,Unconfined,7.0,68,2000-01-15,2023-05-15
MH2dab5513a8,21.3292,77.9097,Amravati,Morshi,0.02,district_modal,Ambada,-,15.5,45,2000-01-15,2015-01-15
MHfe160fe434,21.1667,77.3,Amravati,Anjangaon Surji,0.02,district_modal,Anjangaon Surji,Unconfined,45.0,58,2001-05-15,2023-05-15
MHe92e1fbebb,20.9167,78.1375,Amravati,Teosa,0.02,measured,Anjansingi,Unconfined,10.8,85,2000-01-15,2023-05-15
MH0312057979,21.3083,77.925,Amravati,Morshi,0.02,measured,Ashtagaon,Unconfined,8.0,84,2000-01-15,2023-05-15
MH9161663ba0,20.8444,77.7286,Amravati,Amravati,0.13,measured,Badnera,Unconfined,17.62,84,2000-01-15,2023-05-15
MH4a24ce2b4f,21.3972,77.4611,Amravati,Chikhaldara,0.02,measured,Behali,Unconfined,9.0,84,2000-01-15,2023-05-15
MHc0ad783f5f,20.7667,77.7,Amravati,Nandgaon Khandeshwar,0.02,district_modal,Belora,Unconfined,18.0,77,2000-01-15,2023-05-15
MH25ec83db2f,20.8542,77.6042,Amravati,Bhatkuli,0.02,district_modal,Bhatkulijain,-,10.66,51,2000-01-15,2013-08-15
MH48efbebb34,21.5139,76.7806,Amravati,Dharni,0.02,measured,Bhokarbardi,Unconfined,8.0,80,2000-01-15,2023-05-15
MH3912ad21cb,20.8167,77.9667,Amravati,Chandur Railway,0.02,district_modal,Chandur Railway,Unconfined,10.1,83,2000-01-15,2023-05-15
MHe9d65b9d7a,21.36,77.9444,Amravati,Morshi,0.02,measured,Chicholi,Unconfined,10.92,84,2000-01-15,2023-05-15
MH458a03dfa4,21.3833,78.0597,Amravati,Morshi,0.02,district_modal,Dapori,Unconfined,21.0,61,2005-01-15,2023-05-15
MH52a47ba2f7,21.2625,76.9806,Amravati,Chikhaldara,0.02,district_modal,Dargarh,Unconfined,6.4,48,2000-01-15,2021-11-15
MHdf4ba9f398,20.6833,78.1569,Amravati,Chandur Railway,0.02,measured,Devgaon,Unconfined,9.7,83,2000-01-15,2023-05-15
MHeb2078327a,21.5583,76.8833,Amravati,Dharni,0.02,district_modal,Dharni,-,6.05,40,2000-01-15,2013-01-15
MH88407c7282,21.5333,77.1167,Amravati,Dharni,0.02,measured,Harisal,Unconfined,10.8,84,2000-01-15,2023-05-15
MHe012560456,21.6833,77.3361,Amravati,Chikhaldara,0.02,district_modal,Hatru,Unconfined,7.0,45,2000-05-15,2022-11-15
MH99452fc6fc,21.3931,78.0839,Amravati,Morshi,0.02,measured,Hiwarkheda,Unconfined,15.35,81,2000-01-15,2023-05-15
MH64a3e97999,21.4556,78.1389,Amravati,Warud,0.02,district_modal,Jamgaon (Via Khadka),-,16.6,57,2000-01-15,2015-01-15
MH17015189a4,21.3153,77.9542,Amravati,Morshi,0.02,measured,Khanapur,Unconfined,13.5,83,2000-01-15,2023-05-15
MH7f8e2f6a45,21.3097,77.8611,Amravati,Morshi,0.02,district_modal,Kher,-,10.7,56,2000-01-15,2015-01-15
MHc79a39290d,21.5,77.2042,Amravati,Chikhaldara,0.02,measured,Kolkaz,Unconfined,8.6,85,2000-01-15,2023-05-15
