reservoir_id,name,city,lat,lon,capacity_ml,capacity_mcm
UPPER_VAITARNA,Upper Vaitarna,Mumbai,19.85,73.5,227047,227.047
MODAK_SAGAR,Modak Sagar,Mumbai,19.62,73.32,128925,128.925
TANSA,Tansa,Mumbai,19.6,73.15,145080,145.08
MIDDLE_VAITARNA,Middle Vaitarna,Mumbai,19.75,73.42,193530,193.53
BHATSA,Bhatsa,Mumbai,19.52,73.42,717037,717.037
VIHAR,Vihar,Mumbai,19.15,72.91,27698,27.698
TULSI,Tulsi,Mumbai,19.19,72.9,8046,8.046
KHADAKWASLA,Khadakwasla,Pune,18.44,73.77,55910,55.91
PANSHET,Panshet,Pune,18.39,73.61,301610,301.61
VARASGAON,Varasgaon,Pune,18.36,73.56,363130,363.13
TEMGHAR,Temghar,Pune,18.44,73.53,105010,105.01
PAVANA,Pavana,Pune,18.67,73.48,241270,241.27
MUM_ALL,Mumbai — all 7 lakes,Mumbai,19.55,73.3,1447363,1447.363
PUN_ALL,Pune — all 5 dams,Pune,18.45,73.6,1099980,1099.98
